customer_id,Customer,Gender,Income,Employment Status,Education,Marital Status,Country,State Code,Location Type,Policy Name,Policy Type,Number of Policies,Premium Per Month,Coverage,Sales Channel,Vehicle Type,Vehicle Size,date,Claim Reason,Claim Demanded,Claim Sanctioned,Number of Open Complaints,Response,Months Since Last Claim,Months Since Policy Inspection
1673,TD20252,M,74092,Employed,College,Married,US,NE,Suburban,Personal L2,Personal Auto,3,67,Basic,Agent,Four-Door Car,Medsize,1/8/11,Hail,531.7807220999999,321.6,0,No,17,72
1674,TH68362,F,0,Unemployed,College,Married,US,MO,Suburban,Corporate L3,Corporate Auto,1,64,Basic,Agent,Four-Door Car,Medsize,1/1/11,Scratch/Dent,237.480917,380.822087,0,No,2,52
1675,JC45487,M,73168,Employed,High School or Below,Married,US,KS,Suburban,Personal L2,Personal Auto,3,70,Basic,Agent,Four-Door Car,Medsize,1/10/11,Hail,563.9941974,425.800112,0,Yes,21,50
1676,PU95227,M,22853,Employed,Bachelor,Married,US,KS,Urban,Personal L1,Personal Auto,1,87,Extended,Agent,Four-Door Car,Medsize,1/2/11,Other,336.2414442,316.35677999999996,0,No,16,89
1677,CV72453,F,0,Unemployed,High School or Below,Single,US,IA,Suburban,Corporate L3,Corporate Auto,1,125,Extended,Agent,SUV,Small,2/25/11,Collision,451.22043909999996,900.0,0,No,6,44
1678,OY92520,F,12075,Medical Leave,Bachelor,Married,US,MO,Suburban,Personal L2,Personal Auto,5,94,Extended,Branch,Four-Door Car,Medsize,2/28/11,Collision,726.4803903,451.2,0,No,16,23
1679,UY95530,M,62464,Employed,College,Married,US,MO,Urban,Personal L2,Personal Auto,4,109,Basic,Agent,Sports Car,Medsize,2/7/11,Hail,865.8863812999999,400.181882,0,Yes,23,45
1680,FB84235,M,22520,Medical Leave,College,Married,US,IA,Suburban,Personal L2,Personal Auto,3,73,Basic,Branch,Four-Door Car,Medsize,2/5/11,Collision,549.8940679,350.4,0,Yes,17,64
1681,MJ14480,F,35012,Employed,High School or Below,Single,US,NE,Suburban,Personal L3,Personal Auto,6,72,Basic,Agent,Four-Door Car,Medsize,1/15/11,Hail,559.9382893,345.6,0,No,0,50
1682,KW81128,F,95140,Employed,College,Divorced,US,NE,Rural,Personal L3,Personal Auto,2,126,Extended,Agent,Sports Car,Medsize,2/11/11,Collision,1522.819865,45.049184999999994,0,No,6,52
1683,DQ98402,F,82477,Employed,High School or Below,Married,US,OK,Suburban,Corporate L3,Corporate Auto,1,90,Extended,Agent,Two-Door Car,Large,1/15/11,Hail,364.48335539999994,432.0,0,Yes,1,69
1684,WN53966,M,85871,Employed,Master,Married,US,MO,Rural,Personal L3,Personal Auto,1,92,Extended,Call Center,Four-Door Car,Medsize,1/15/11,Other,369.3440833,112.63353899999998,1,No,4,25
1685,LM34525,F,71592,Employed,College,Divorced,US,KS,Rural,Personal L3,Personal Auto,2,72,Basic,Branch,Four-Door Car,Medsize,2/20/11,Scratch/Dent,874.205776,141.725051,0,No,15,18
1686,GF97874,F,70446,Employed,Master,Married,US,KS,Rural,Personal L1,Personal Auto,9,65,Basic,Call Center,Four-Door Car,Medsize,1/29/11,Other,527.5626956,155.57080200000001,0,No,31,99
1687,WV79842,M,24314,Employed,High School or Below,Married,US,MO,Suburban,Personal L3,Personal Auto,1,235,Extended,Call Center,Luxury SUV,Medsize,1/16/11,Hail,928.3737773,1128.0,0,No,20,60
1688,DF40318,M,79751,Employed,Master,Married,US,IA,Suburban,Corporate L3,Corporate Auto,1,63,Basic,Web,Two-Door Car,Small,1/19/11,Scratch/Dent,255.1226692,392.235698,0,Yes,15,67
1689,TN90661,M,83318,Employed,High School or Below,Married,US,OK,Suburban,Corporate L3,Corporate Auto,3,72,Basic,Branch,Four-Door Car,Medsize,1/9/11,Collision,581.1918112000001,345.6,0,No,21,58
1690,ZU88029,F,26161,Retired,Master,Single,US,IA,Suburban,Personal L3,Personal Auto,1,109,Basic,Branch,Sports Car,Large,2/28/11,Scratch/Dent,406.46706389999997,594.4445860000001,0,No,8,70
1691,TQ88221,F,30473,Employed,Bachelor,Married,US,MO,Suburban,Corporate L1,Corporate Auto,1,72,Basic,Call Center,Four-Door Car,Medsize,1/7/11,Other,284.1443088,450.08010099999996,0,No,20,35
1692,KH34667,M,50472,Employed,College,Married,US,OK,Urban,Corporate L3,Corporate Auto,3,87,Extended,Web,Four-Door Car,Medsize,1/18/11,Hail,683.2133872,281.163705,0,No,6,67
1693,HW54198,M,94186,Employed,Master,Married,US,OK,Rural,Personal L3,Personal Auto,3,64,Basic,Call Center,Four-Door Car,Medsize,1/29/11,Scratch/Dent,520.1971427,135.340489,0,No,20,50
1694,GZ79662,M,47611,Employed,High School or Below,Married,US,NE,Suburban,Corporate L3,Corporate Auto,4,69,Basic,Call Center,Four-Door Car,Small,2/21/11,Hail,548.4588155,593.654484,0,No,17,65
1695,YA11342,M,0,Unemployed,High School or Below,Married,US,MO,Suburban,Personal L3,Personal Auto,4,103,Premium,Branch,Four-Door Car,Medsize,2/4/11,Scratch/Dent,767.2681366,518.720216,0,No,17,56
1696,ZW18871,M,91245,Employed,High School or Below,Divorced,US,IA,Rural,Corporate L3,Corporate Auto,2,69,Basic,Agent,Four-Door Car,Small,1/20/11,Collision,827.2485353,19.251693,0,No,16,50
1697,QZ17137,F,45944,Employed,High School or Below,Married,US,NE,Rural,Personal L2,Personal Auto,1,83,Extended,Call Center,Two-Door Car,Medsize,2/5/11,Scratch/Dent,333.0672761,182.948495,0,No,20,4
1698,UV53712,F,59649,Employed,College,Married,US,MO,Rural,Personal L3,Personal Auto,8,69,Basic,Web,Four-Door Car,Medsize,2/19/11,Hail,556.2456386,167.73826699999998,1,No,33,71
1699,SJ43436,F,52785,Employed,Bachelor,Married,US,IA,Rural,Corporate L1,Corporate Auto,1,61,Basic,Agent,Two-Door Car,Medsize,1/28/11,Hail,245.27385750000002,45.721455999999996,0,No,2,90
1700,VW46878,F,59648,Employed,High School or Below,Married,US,IA,Suburban,Personal L3,Personal Auto,2,66,Basic,Agent,Four-Door Car,Medsize,2/8/11,Scratch/Dent,792.028288,316.8,0,No,20,72
1701,TW91179,F,93272,Employed,College,Married,US,IA,Urban,Corporate L3,Corporate Auto,1,95,Extended,Branch,Four-Door Car,Medsize,1/6/11,Hail,386.1486269,281.110788,0,Yes,3,54
1702,LG19551,M,22134,Employed,Bachelor,Married,US,NE,Suburban,Corporate L2,Corporate Auto,3,72,Basic,Call Center,Four-Door Car,Medsize,1/25/11,Collision,576.4784159,445.879224,0,No,13,81
1703,QK18099,F,69050,Employed,College,Married,US,KS,Suburban,Personal L2,Personal Auto,3,67,Basic,Web,Four-Door Car,Large,1/12/11,Scratch/Dent,537.5842787,334.89243700000003,0,No,17,38
1704,WN14473,M,87798,Employed,Master,Married,US,NE,Urban,Personal L3,Personal Auto,1,71,Basic,Call Center,Two-Door Car,Medsize,2/17/11,Hail,288.2350556,204.448708,0,No,18,73
1705,WH62198,M,0,Unemployed,Bachelor,Divorced,US,MO,Suburban,Personal L2,Personal Auto,1,63,Basic,Call Center,Four-Door Car,Small,2/26/11,Collision,221.3187935,305.552429,0,No,0,66
1706,SP85148,F,43811,Employed,Master,Married,US,MO,Suburban,Personal L3,Personal Auto,4,117,Basic,Web,Sports Car,Small,1/31/11,Collision,942.9629367,571.136574,0,No,24,10
1707,FB49203,F,0,Unemployed,College,Single,US,MO,Suburban,Corporate L2,Corporate Auto,3,91,Extended,Agent,Two-Door Car,Medsize,2/26/11,Collision,623.9257541000001,655.2,0,No,25,63
1708,FF94341,F,92456,Employed,Bachelor,Divorced,US,OK,Suburban,Special L3,Special Auto,4,95,Extended,Branch,Four-Door Car,Medsize,1/26/11,Collision,766.8809595,456.0,0,No,8,3
1709,TS42594,F,59207,Employed,High School or Below,Single,US,MO,Suburban,Personal L3,Personal Auto,2,116,Premium,Agent,Four-Door Car,Medsize,2/1/11,Collision,1377.097618,556.8,0,Yes,23,21
1710,IL43607,F,64519,Employed,High School or Below,Married,US,MO,Suburban,Corporate L3,Corporate Auto,1,69,Basic,Branch,Four-Door Car,Medsize,1/2/11,Scratch/Dent,274.2844251,331.2,1,No,6,29
1711,FL85008,F,11432,Disabled,High School or Below,Married,US,IA,Suburban,Personal L2,Personal Auto,2,119,Basic,Agent,SUV,Small,2/23/11,Hail,1346.6920710000002,571.2,0,Yes,11,9
1712,AN47199,F,0,Unemployed,College,Married,US,OK,Rural,Personal L2,Personal Auto,2,80,Extended,Agent,Two-Door Car,Large,2/11/11,Collision,885.8352031999999,81.255741,0,No,6,28
1713,SV28347,M,32607,Employed,High School or Below,Single,US,MO,Suburban,Corporate L3,Corporate Auto,8,111,Basic,Branch,SUV,Medsize,2/14/11,Hail,848.5330004000001,532.8,1,No,27,79
1714,IC78105,F,26444,Disabled,High School or Below,Married,US,NE,Suburban,Personal L1,Personal Auto,1,196,Basic,Branch,Luxury Car,Medsize,1/16/11,Collision,774.4644444,940.8,0,No,4,14
1715,RB28630,F,39381,Employed,High School or Below,Married,US,IA,Suburban,Personal L3,Personal Auto,7,74,Basic,Branch,Four-Door Car,Small,2/20/11,Hail,589.4907375,355.2,1,No,6,55
1716,KA32645,M,0,Unemployed,College,Single,US,OK,Suburban,Personal L2,Personal Auto,8,83,Extended,Branch,Four-Door Car,Medsize,2/2/11,Collision,577.0684097,946.3452689999999,0,No,21,67
1717,QD73891,M,90217,Employed,High School or Below,Married,US,IA,Suburban,Personal L1,Personal Auto,5,66,Basic,Web,Four-Door Car,Small,1/13/11,Other,526.1117506,316.8,1,No,14,88
1718,LM58949,M,24248,Disabled,High School or Below,Married,US,IA,Suburban,Personal L2,Personal Auto,1,70,Basic,Agent,Four-Door Car,Medsize,1/30/11,Collision,240.35394700000003,336.0,3,No,33,82
1719,YG40323,M,99368,Employed,Bachelor,Married,US,NE,Rural,Personal L3,Personal Auto,3,113,Premium,Web,Four-Door Car,Medsize,1/17/11,Collision,912.4600015000001,82.427785,0,No,34,6
1720,EP82214,F,68189,Employed,High School or Below,Married,US,NE,Urban,Special L2,Special Auto,2,82,Extended,Branch,Four-Door Car,Medsize,1/7/11,Hail,2618.080528,343.121192,1,No,10,17
1721,EO91797,F,32370,Employed,Master,Married,US,OK,Urban,Corporate L3,Corporate Auto,2,130,Extended,Agent,SUV,Medsize,1/11/11,Scratch/Dent,1564.125856,487.736171,0,No,31,84
1722,RU50098,F,34990,Employed,Master,Single,US,NE,Rural,Personal L3,Personal Auto,1,65,Basic,Web,Four-Door Car,Medsize,1/14/11,Hail,257.4020376,42.689135,0,Yes,23,73
1723,QW10541,F,25714,Employed,High School or Below,Married,US,MO,Suburban,Personal L3,Personal Auto,5,67,Basic,Agent,Two-Door Car,Small,1/31/11,Hail,531.9838728999999,321.6,0,No,17,57
1724,SB50826,M,61091,Employed,College,Single,US,IA,Urban,Personal L1,Personal Auto,8,95,Extended,Agent,Two-Door Car,Medsize,1/19/11,Hail,749.6006587999999,409.868003,0,No,17,64
1725,XX29952,M,88184,Employed,College,Married,US,NE,Rural,Personal L3,Personal Auto,2,104,Premium,Agent,Four-Door Car,Medsize,1/12/11,Collision,1217.458958,240.176533,3,No,5,97
1726,AT93647,F,60252,Employed,College,Married,US,MO,Urban,Personal L2,Personal Auto,1,65,Basic,Agent,Four-Door Car,Medsize,1/5/11,Other,260.55708280000005,182.436205,0,No,10,8
1727,QP56563,M,80985,Employed,College,Married,US,IA,Rural,Personal L3,Personal Auto,1,67,Basic,Agent,Four-Door Car,Medsize,1/13/11,Scratch/Dent,270.720846,124.93358700000002,0,No,0,52
1728,TN76120,M,36088,Employed,Bachelor,Single,US,KS,Suburban,Personal L3,Personal Auto,9,72,Basic,Agent,Four-Door Car,Medsize,1/19/11,Collision,552.8212807,345.6,0,Yes,16,31
1729,TY43440,M,99845,Employed,High School or Below,Married,US,MO,Suburban,Personal L3,Personal Auto,8,110,Basic,Branch,SUV,Medsize,1/10/11,Hail,881.9018934000001,528.0,1,Yes,23,25
1730,WO59883,F,29822,Employed,High School or Below,Single,US,KS,Suburban,Personal L2,Personal Auto,2,61,Basic,Agent,Two-Door Car,Medsize,1/19/11,Hail,1901.447625,292.8,0,No,17,44
1731,MM45334,F,40803,Employed,College,Single,US,IA,Rural,Personal L3,Personal Auto,2,71,Basic,Call Center,Four-Door Car,Medsize,2/14/11,Scratch/Dent,816.9513982000001,122.912377,3,No,8,19
1732,KH93988,F,71134,Employed,College,Married,US,IA,Rural,Personal L3,Personal Auto,8,98,Extended,Web,Two-Door Car,Medsize,1/5/11,Collision,770.8883885,196.37368,3,No,21,95
1733,RY38931,M,36088,Employed,Bachelor,Single,US,NE,Suburban,Personal L3,Personal Auto,9,72,Basic,Agent,Four-Door Car,Medsize,1/19/11,Collision,552.8212807,345.6,0,Yes,16,31
1734,CV48634,M,29431,Employed,College,Married,US,OK,Rural,Personal L2,Personal Auto,2,103,Basic,Call Center,SUV,Medsize,1/16/11,Other,1212.84467,237.896227,0,No,29,35
1735,IH48064,M,68073,Employed,High School or Below,Married,US,KS,Suburban,Personal L3,Personal Auto,8,114,Basic,Agent,SUV,Medsize,2/2/11,Scratch/Dent,908.028284,547.2,0,No,16,63
1736,ZS96174,M,17937,Medical Leave,College,Single,US,IA,Suburban,Personal L3,Personal Auto,2,65,Basic,Branch,Two-Door Car,Medsize,1/19/11,Collision,679.6844768999999,312.0,0,No,1,27
1737,MI62456,F,23376,Retired,Bachelor,Divorced,US,NE,Suburban,Personal L1,Personal Auto,1,78,Extended,Call Center,Four-Door Car,Medsize,1/3/11,Hail,286.7312197,374.4,0,Yes,19,18
1738,DD44177,F,21986,Disabled,Doctor,Divorced,US,MO,Suburban,Personal L3,Personal Auto,1,63,Basic,Branch,Two-Door Car,Medsize,1/27/11,Hail,239.55700000000002,333.69622799999996,0,Yes,1,9
1739,NX31380,F,23032,Employed,Bachelor,Married,US,NE,Suburban,Corporate L1,Corporate Auto,7,89,Extended,Branch,Four-Door Car,Medsize,2/18/11,Collision,709.4167717,427.2,0,No,30,22
1740,KQ43374,F,32114,Employed,College,Married,US,IA,Urban,Corporate L3,Corporate Auto,1,104,Basic,Agent,SUV,Medsize,2/19/11,Collision,412.8091334,445.29049000000003,0,No,22,50
1741,XA54112,M,13330,Disabled,Bachelor,Single,US,MO,Suburban,Corporate L3,Corporate Auto,1,117,Basic,Call Center,SUV,Medsize,2/11/11,Collision,404.6936065,561.6,0,No,33,74
1742,QB14087,F,44934,Employed,College,Married,US,MO,Suburban,Personal L1,Personal Auto,4,61,Basic,Agent,Four-Door Car,Medsize,1/19/11,Collision,486.9282783,357.926979,0,No,9,60
1743,FV42881,F,96137,Employed,College,Married,US,IA,Rural,Corporate L1,Corporate Auto,1,73,Basic,Call Center,Two-Door Car,Medsize,2/5/11,Collision,290.2151897,67.490616,2,No,17,34
1744,AV76907,F,40864,Employed,College,Married,US,IA,Rural,Personal L3,Personal Auto,1,109,Basic,Agent,SUV,Medsize,2/26/11,Collision,428.2947971,166.937747,1,Yes,16,70
1745,VM85555,F,22668,Employed,College,Single,US,MO,Rural,Personal L2,Personal Auto,2,67,Basic,Branch,Four-Door Car,Medsize,2/23/11,Scratch/Dent,775.0120323,33.718553,1,No,5,34
1746,ZU88113,M,90751,Employed,College,Married,US,IA,Urban,Personal L2,Personal Auto,8,82,Extended,Agent,Two-Door Car,Medsize,2/7/11,Collision,662.7174629,315.82638199999997,1,No,2,22
1747,SZ75668,M,44186,Employed,College,Married,US,IA,Urban,Personal L1,Personal Auto,2,64,Basic,Agent,Four-Door Car,Medsize,1/15/11,Collision,747.4605769,295.04969,2,No,9,96
1748,MZ65087,M,92678,Employed,College,Divorced,US,IA,Rural,Personal L3,Personal Auto,3,70,Basic,Web,Four-Door Car,Small,1/29/11,Other,556.1291397000001,34.689611,0,No,0,67
1749,EL61402,F,74257,Employed,Bachelor,Married,US,NE,Urban,Personal L3,Personal Auto,3,76,Extended,Agent,Four-Door Car,Large,1/5/11,Collision,609.8462114,214.586742,0,No,16,91
1750,CJ31839,M,99981,Employed,Bachelor,Married,US,MO,Urban,Special L2,Special Auto,1,71,Basic,Web,Four-Door Car,Small,2/18/11,Hail,285.952893,204.872273,0,No,2,22
1751,XM11175,M,0,Unemployed,College,Single,US,NE,Suburban,Personal L1,Personal Auto,6,91,Extended,Web,Four-Door Car,Small,1/2/11,Collision,599.4424627000001,655.2,0,No,26,89
1752,LF41085,F,19591,Medical Leave,College,Divorced,US,NE,Rural,Personal L2,Personal Auto,4,74,Basic,Agent,Two-Door Car,Medsize,1/22/11,Collision,563.5249486,95.925021,0,No,8,79
1753,MB19556,F,29095,Employed,College,Married,US,MO,Suburban,Personal L2,Personal Auto,1,127,Extended,Agent,SUV,Medsize,1/20/11,Other,506.72083380000004,664.280864,0,No,2,80
1754,HC74532,F,0,Unemployed,Bachelor,Married,US,IA,Suburban,Corporate L3,Corporate Auto,1,62,Basic,Agent,Four-Door Car,Medsize,1/19/11,Other,226.3284608,389.75079300000004,0,No,25,15
1755,SB66770,M,60880,Employed,Master,Married,US,NE,Rural,Corporate L2,Corporate Auto,2,119,Premium,Agent,Two-Door Car,Medsize,1/26/11,Collision,1443.567365,109.906628,0,Yes,25,89
1756,JI25066,F,61785,Employed,Bachelor,Married,US,NE,Urban,Personal L3,Personal Auto,5,61,Basic,Web,Two-Door Car,Large,1/18/11,Scratch/Dent,492.83970769999996,271.10697000000005,0,No,31,47
1757,PY98958,M,44428,Employed,Bachelor,Single,US,IA,Suburban,Special L1,Special Auto,2,104,Basic,Call Center,SUV,Medsize,2/10/11,Collision,1203.662051,499.2,0,Yes,17,61
1758,RA65645,M,95697,Employed,High School or Below,Married,US,MO,Rural,Personal L2,Personal Auto,9,107,Basic,Agent,Sports Car,Medsize,2/17/11,Hail,856.4768226,178.006524,0,Yes,29,29
1759,FQ79356,F,18064,Medical Leave,Bachelor,Married,US,MO,Urban,Personal L2,Personal Auto,1,63,Basic,Call Center,Four-Door Car,Medsize,2/24/11,Scratch/Dent,236.1883909,182.96418400000002,2,No,10,45
1760,TM25808,M,74720,Employed,High School or Below,Divorced,US,MO,Urban,Personal L3,Personal Auto,3,70,Basic,Agent,Two-Door Car,Medsize,2/10/11,Collision,556.5693282000001,200.812425,0,No,15,99
1761,XO46388,F,22594,Disabled,Bachelor,Married,US,MO,Suburban,Personal L2,Personal Auto,3,67,Basic,Call Center,Four-Door Car,Medsize,1/25/11,Collision,514.680976,321.6,0,No,22,41
1762,LB81265,F,40987,Employed,Bachelor,Divorced,US,NE,Urban,Personal L2,Personal Auto,1,73,Basic,Call Center,Four-Door Car,Medsize,2/9/11,Scratch/Dent,293.8080327,329.013275,0,No,6,15
1763,JR38787,M,24561,Disabled,High School or Below,Married,US,OK,Suburban,Personal L1,Personal Auto,2,126,Extended,Branch,SUV,Small,2/19/11,Hail,1443.2746439999999,853.4735519999999,0,No,1,31
1764,KZ22690,F,76456,Employed,College,Single,US,MO,Rural,Personal L3,Personal Auto,2,83,Extended,Web,Four-Door Car,Medsize,2/12/11,Other,1302.741984,42.693918,1,No,27,34
1765,NY49598,M,65828,Employed,College,Divorced,US,MO,Suburban,Personal L3,Personal Auto,1,62,Basic,Agent,Four-Door Car,Small,1/21/11,Hail,245.19887830000002,297.6,0,No,22,3
1766,KY39767,F,0,Unemployed,College,Single,US,IA,Suburban,Personal L2,Personal Auto,5,68,Basic,Call Center,Four-Door Car,Medsize,2/4/11,Collision,466.19841439999993,489.6,1,No,0,48
1767,YU35386,F,63621,Employed,Bachelor,Married,US,NE,Suburban,Personal L3,Personal Auto,5,70,Basic,Call Center,Four-Door Car,Medsize,2/15/11,Other,560.0010179,444.620265,0,No,8,48
1768,TF82172,M,10074,Medical Leave,College,Married,US,NE,Rural,Corporate L1,Corporate Auto,1,107,Basic,Web,SUV,Medsize,1/5/11,Hail,401.61327719999997,108.995934,0,No,33,42
1769,ER40041,F,78965,Employed,College,Married,US,IA,Rural,Personal L3,Personal Auto,2,183,Basic,Call Center,Luxury Car,Medsize,2/5/11,Collision,2219.5802989999997,145.587985,0,No,3,78
1770,MS39869,F,0,Unemployed,College,Single,US,OK,Suburban,Personal L1,Personal Auto,2,68,Basic,Call Center,Four-Door Car,Medsize,1/5/11,Hail,734.3353716,479.02881799999994,0,No,16,57
1771,PV77906,M,23604,Disabled,Bachelor,Married,US,NE,Suburban,Corporate L2,Corporate Auto,8,64,Basic,Web,Two-Door Car,Medsize,1/22/11,Collision,480.4514274,460.8,0,No,4,86
1772,QF21045,F,99205,Employed,College,Married,US,IA,Urban,Personal L2,Personal Auto,1,68,Basic,Branch,Two-Door Car,Medsize,2/14/11,Hail,273.55388589999995,323.246017,0,No,7,21
1773,HF65914,M,0,Unemployed,College,Married,US,NE,Suburban,Personal L1,Personal Auto,3,92,Extended,Branch,Two-Door Car,Medsize,1/3/11,Collision,694.0972823,441.6,0,No,4,60
1774,AJ58038,F,0,Unemployed,Bachelor,Married,US,MO,Suburban,Corporate L1,Corporate Auto,1,66,Basic,Call Center,Four-Door Car,Large,1/10/11,Hail,239.62192919999998,433.160284,2,Yes,6,71
1775,ZR88383,F,55350,Employed,College,Married,US,OK,Suburban,Personal L1,Personal Auto,9,67,Basic,Agent,Four-Door Car,Medsize,2/24/11,Collision,538.0898636,321.6,0,Yes,0,13
1776,OT49339,M,21052,Disabled,College,Married,US,IA,Urban,Corporate L3,Corporate Auto,5,111,Basic,Call Center,SUV,Medsize,2/26/11,Hail,843.2815731000001,453.57834299999996,0,No,12,55
1777,FI74985,F,0,Unemployed,High School or Below,Single,US,IA,Suburban,Personal L1,Personal Auto,2,69,Basic,Web,Four-Door Car,Medsize,1/19/11,Collision,755.6507482000001,496.8,0,No,5,64
1778,JW15301,M,24664,Medical Leave,High School or Below,Married,US,NE,Suburban,Corporate L3,Corporate Auto,2,69,Basic,Agent,Four-Door Car,Medsize,1/20/11,Hail,778.7431684,496.8,0,No,12,15
1779,PY20159,M,45225,Employed,College,Single,US,OK,Rural,Corporate L1,Corporate Auto,1,124,Extended,Web,Sports Car,Small,1/27/11,Scratch/Dent,478.7812897,209.176923,0,No,15,83
1780,NC42524,M,30430,Employed,College,Single,US,MO,Suburban,Special L3,Special Auto,2,86,Extended,Web,Four-Door Car,Small,1/13/11,Other,970.7647552000001,425.662574,0,No,6,77
1781,ZG19911,F,35149,Employed,Bachelor,Married,US,MO,Rural,Personal L2,Personal Auto,1,64,Basic,Web,Two-Door Car,Medsize,2/2/11,Other,255.22261969999997,120.477298,0,No,26,33
1782,DI89983,M,16513,Medical Leave,Bachelor,Divorced,US,MO,Suburban,Personal L3,Personal Auto,6,71,Basic,Branch,Four-Door Car,Medsize,2/4/11,Scratch/Dent,522.3429265,340.8,0,No,23,37
1783,IG56214,M,10892,Disabled,High School or Below,Divorced,US,OK,Suburban,Personal L1,Personal Auto,3,66,Basic,Call Center,Four-Door Car,Medsize,1/27/11,Collision,501.044933,316.8,0,No,16,9
1784,LC59148,F,37995,Employed,High School or Below,Married,US,KS,Suburban,Personal L1,Personal Auto,1,139,Extended,Branch,SUV,Medsize,1/27/11,Collision,559.712496,667.2,0,Yes,16,50
1785,UO95739,M,54704,Employed,College,Divorced,US,IA,Urban,Personal L3,Personal Auto,1,113,Basic,Web,SUV,Medsize,2/24/11,Collision,445.7936252,468.17605599999996,0,No,6,75
1786,SB64873,M,25381,Employed,Doctor,Single,US,IA,Suburban,Personal L2,Personal Auto,2,71,Basic,Branch,Four-Door Car,Medsize,2/13/11,Hail,820.0787280000001,340.8,0,No,22,62
1787,TE82896,F,0,Unemployed,High School or Below,Married,US,IA,Suburban,Personal L2,Personal Auto,1,74,Basic,Branch,Four-Door Car,Medsize,2/19/11,Hail,274.6080105,355.2,0,No,5,75
1788,VY64199,F,18150,Disabled,Bachelor,Married,US,IA,Urban,Corporate L1,Corporate Auto,2,67,Basic,Branch,Four-Door Car,Medsize,1/9/11,Collision,1021.5779150000001,220.304649,0,No,17,34
1789,IE82679,M,29735,Medical Leave,Bachelor,Single,US,MO,Suburban,Personal L2,Personal Auto,1,69,Basic,Agent,Four-Door Car,Medsize,2/9/11,Collision,245.35707940000003,331.2,0,Yes,3,92
1790,SL70257,F,77156,Employed,College,Divorced,US,OK,Suburban,Personal L2,Personal Auto,7,73,Basic,Branch,Four-Door Car,Small,2/4/11,Collision,587.2958817000001,445.817914,0,No,30,39
1791,XJ85947,F,88782,Employed,College,Divorced,US,IA,Urban,Personal L3,Personal Auto,1,78,Extended,Web,Four-Door Car,Large,2/5/11,Other,311.89279489999996,357.757645,0,No,6,38
1792,EF84269,F,51489,Employed,College,Married,US,MO,Rural,Personal L2,Personal Auto,1,139,Extended,Web,SUV,Medsize,2/21/11,Collision,556.8656492,236.73932200000002,0,No,14,10
1793,NY91328,F,16972,Retired,Bachelor,Divorced,US,MO,Suburban,Personal L3,Personal Auto,5,125,Extended,Agent,SUV,Large,2/2/11,Collision,902.971466,600.0,0,No,17,89
1794,AT49447,M,99359,Employed,Bachelor,Married,US,MO,Rural,Personal L3,Personal Auto,9,95,Extended,Call Center,Two-Door Car,Medsize,1/15/11,Hail,759.1827171,233.265397,0,No,16,19
1795,BM70908,M,58289,Employed,College,Single,US,NE,Suburban,Personal L3,Personal Auto,1,62,Basic,Agent,Two-Door Car,Medsize,1/26/11,Collision,225.5312942,297.6,4,No,18,92
1796,GM63998,F,45173,Employed,Doctor,Married,US,IA,Suburban,Personal L3,Personal Auto,2,268,Premium,Call Center,Luxury Car,Medsize,2/14/11,Scratch/Dent,3261.369038,1286.4,0,No,20,57
1797,AR61426,F,93246,Employed,Bachelor,Married,US,MO,Rural,Personal L3,Personal Auto,2,78,Extended,Branch,Two-Door Car,Medsize,1/24/11,Other,944.5649461000002,41.628869,0,No,31,24
1798,CB62406,M,43758,Employed,High School or Below,Married,US,NE,Suburban,Corporate L3,Corporate Auto,1,171,Premium,Call Center,SUV,Medsize,2/4/11,Collision,680.3596767999999,1129.929433,0,No,16,29
1799,WH82416,M,75651,Employed,Bachelor,Married,US,IA,Urban,Personal L2,Personal Auto,2,81,Extended,Agent,Four-Door Car,Large,2/12/11,Hail,976.6217126,375.11129,0,No,23,60
1800,UI53874,F,0,Unemployed,Doctor,Divorced,US,NE,Suburban,Personal L3,Personal Auto,2,67,Basic,Agent,Four-Door Car,Medsize,2/2/11,Collision,729.4846132,321.6,0,No,13,91
1801,LM44949,F,36938,Employed,Doctor,Married,US,IA,Urban,Special L2,Special Auto,3,70,Basic,Agent,Four-Door Car,Medsize,1/13/11,Collision,568.2515346,244.801119,0,No,32,31
1802,JR59597,M,50843,Employed,Bachelor,Single,US,MO,Suburban,Personal L3,Personal Auto,3,82,Extended,Call Center,Two-Door Car,Small,2/27/11,Scratch/Dent,633.2941818,393.6,0,No,12,65
1803,ZS22428,F,21907,Employed,Bachelor,Married,US,MO,Rural,Personal L3,Personal Auto,3,62,Basic,Agent,Four-Door Car,Medsize,2/14/11,Hail,491.6577034,2.96438,0,No,6,47
1804,AZ34845,F,77846,Employed,Bachelor,Married,US,MO,Urban,Personal L3,Personal Auto,1,119,Basic,Agent,Sports Car,Medsize,2/20/11,Collision,479.82408889999994,342.471939,0,No,8,45
1805,FL67726,M,20228,Retired,High School or Below,Divorced,US,KS,Suburban,Personal L3,Personal Auto,2,101,Basic,Branch,SUV,Medsize,2/18/11,Collision,1040.896865,523.815839,1,Yes,3,43
1806,QU20310,F,97030,Employed,High School or Below,Married,US,NE,Suburban,Corporate L3,Corporate Auto,2,76,Extended,Call Center,Four-Door Car,Small,1/2/11,Scratch/Dent,924.7464417000001,416.63749900000005,0,No,14,24
